ConstCode,Const,xapply,xapplyp,mignotUK,mignotUKp,migStu,migStup,migUK,migUKp,nonmig,nonmigp
E14001063,Aldershot,1429,1.22%,1050,0.89%,244,0.21%,11641,9.91%,103066,87.77%
E14001064,Aldridge-Brownhills,826,0.88%,162,0.17%,124,0.13%,5801,6.20%,86694,92.61%
E14001065,Altrincham and Sale West,931,0.92%,1054,1.04%,273,0.27%,7749,7.68%,90917,90.08%
E14001066,Amber Valley,824,0.91%,163,0.18%,107,0.12%,6791,7.52%,82437,91.27%
E14001067,Arundel and South Downs,657,0.68%,546,0.56%,279,0.29%,8871,9.13%,86824,89.35%
E14001068,Ashfield,940,0.99%,245,0.26%,95,0.10%,6790,7.15%,86951,91.51%
E14001069,Ashford,1219,1.14%,867,0.81%,216,0.20%,9902,9.27%,94612,88.57%
E14001070,Ashton-under-Lyne,1180,1.18%,642,0.64%,117,0.12%,6443,6.44%,91658,91.62%
E14001071,Aylesbury,1290,1.18%,628,0.57%,251,0.23%,9963,9.10%,97332,88.92%
E14001072,Banbury,1075,1.06%,923,0.91%,267,0.26%,9998,9.83%,89429,87.94%
E14001073,Barking,1967,1.47%,1409,1.05%,181,0.14%,10039,7.50%,120220,89.84%
E14001074,Barnsley North,1129,1.08%,350,0.33%,116,0.11%,7754,7.42%,95149,91.05%
E14001075,Barnsley South,1119,1.07%,372,0.35%,75,0.07%,7844,7.48%,95455,91.03%
E14001076,Barrow and Furness,875,0.90%,433,0.44%,135,0.14%,7571,7.77%,88411,90.75%
E14001077,Basildon and Billericay,1381,1.28%,472,0.44%,150,0.14%,8030,7.43%,98066,90.72%
E14001078,Basingstoke,1223,1.11%,1062,0.97%,241,0.22%,10520,9.56%,96981,88.14%
E14001079,Bassetlaw,1042,1.00%,324,0.31%,143,0.14%,8926,8.57%,93767,89.99%
E14001080,Bath,847,0.83%,2422,2.36%,4481,4.38%,17839,17.42%,76822,75.01%
E14001081,Battersea,1293,1.19%,2367,2.17%,759,0.70%,20726,19.03%,83754,76.91%
E14001082,Beaconsfield,934,0.97%,637,0.66%,270,0.28%,8030,8.32%,86604,89.77%
E14001083,Beckenham and Penge,1271,1.19%,778,0.73%,263,0.25%,9646,9.00%,95195,88.84%
E14001084,Bedford,1323,1.20%,1347,1.22%,331,0.30%,10190,9.27%,96774,88.00%
E14001085,Bermondsey and Old Southwark,990,0.92%,3579,3.34%,1606,1.50%,17992,16.79%,82992,77.45%
E14001086,Bethnal Green and Stepney,1464,1.15%,5520,4.35%,1502,1.18%,19949,15.74%,98321,77.57%
E14001087,Beverley and Holderness,603,0.67%,327,0.37%,165,0.18%,7359,8.22%,81049,90.55%
E14001088,Bexhill and Battle,651,0.73%,375,0.42%,177,0.20%,8024,9.00%,79881,89.65%
E14001089,Bexleyheath and Crayford,1088,1.10%,475,0.48%,200,0.20%,6795,6.89%,90105,91.33%
E14001090,Bicester and Woodstock,1038,1.03%,977,0.97%,265,0.26%,10588,10.47%,88292,87.28%
E14001091,Birkenhead,1168,1.11%,454,0.43%,165,0.16%,8112,7.69%,95593,90.62%
E14001092,Birmingham Edgbaston,1166,1.08%,2174,2.01%,1171,1.08%,12775,11.79%,91055,84.04%
E14001093,Birmingham Erdington,1653,1.36%,744,0.61%,240,0.20%,8803,7.23%,110281,90.60%
E14001094,Birmingham Hall Green and Moseley,1612,1.37%,1065,0.91%,325,0.28%,8044,6.86%,106252,90.58%
E14001095,Birmingham Hodge Hill and Solihull North,1665,1.36%,661,0.54%,181,0.15%,7128,5.83%,112658,92.12%
E14001096,Birmingham Ladywood,2153,1.42%,4466,2.94%,2800,1.84%,20361,13.41%,122085,80.39%
E14001097,Birmingham Northfield,1290,1.20%,463,0.43%,240,0.22%,7313,6.78%,98483,91.37%
E14001098,Birmingham Perry Barr,1602,1.31%,1355,1.11%,312,0.26%,7175,5.89%,111420,91.43%
E14001099,Birmingham Selly Oak,1076,1.00%,1396,1.29%,5894,5.46%,13227,12.25%,86401,80.01%
E14001100,Birmingham Yardley,1518,1.34%,920,0.81%,182,0.16%,7293,6.42%,103603,91.27%
E14001101,Bishop Auckland,828,0.90%,314,0.34%,192,0.21%,7396,8.01%,83554,90.54%
E14001102,Blackburn,1481,1.32%,1103,0.98%,145,0.13%,7447,6.62%,102234,90.95%
E14001103,Blackley and Middleton South,1420,1.28%,1296,1.17%,222,0.20%,7556,6.82%,100250,90.52%
E14001104,Blackpool North and Fleetwood,788,0.83%,312,0.33%,130,0.14%,7618,8.02%,86158,90.69%
E14001105,Blackpool South,1165,1.06%,821,0.75%,136,0.12%,9916,9.06%,97394,89.00%
E14001106,Blaydon and Consett,810,0.88%,227,0.25%,154,0.17%,6446,7.04%,83892,91.66%
E14001107,Blyth and Ashington,1013,1.00%,232,0.23%,99,0.10%,7967,7.85%,92223,90.83%
E14001108,Bognor Regis and Littlehampton,933,0.87%,550,0.51%,250,0.23%,9955,9.30%,95370,89.08%
E14001109,Bolsover,1000,1.00%,323,0.32%,101,0.10%,7916,7.90%,90823,90.68%
E14001110,Bolton North East,1241,1.09%,809,0.71%,170,0.15%,7399,6.50%,104299,91.56%
E14001111,Bolton South and Walkden,1939,1.57%,1229,0.99%,189,0.15%,9052,7.33%,111126,89.96%
E14001112,Bolton West,960,0.98%,489,0.50%,199,0.20%,6727,6.85%,89896,91.48%
E14001113,Bootle,1089,1.07%,585,0.58%,99,0.10%,6705,6.61%,92904,91.64%
E14001114,Boston and Skegness,995,0.86%,913,0.79%,131,0.11%,10423,8.97%,103727,89.27%
E14001115,Bournemouth East,1047,0.98%,1169,1.09%,757,0.71%,12897,12.06%,91068,85.16%
E14001116,Bournemouth West,994,0.93%,1668,1.56%,2152,2.01%,17571,16.39%,84836,79.12%
E14001117,Bracknell,1110,1.09%,855,0.84%,266,0.26%,9975,9.80%,89573,88.01%
E14001118,Bradford East,1593,1.34%,823,0.69%,127,0.11%,7493,6.30%,108956,91.57%
E14001119,Bradford South,1474,1.35%,406,0.37%,116,0.11%,7748,7.09%,99518,91.08%
E14001120,Bradford West,1672,1.38%,1787,1.47%,372,0.31%,9199,7.58%,108325,89.26%
E14001121,Braintree,952,0.91%,341,0.33%,188,0.18%,9200,8.83%,93454,89.74%
E14001122,Brent East,1597,1.19%,1833,1.36%,338,0.25%,13863,10.31%,116879,86.89%
E14001123,Brent West,1552,1.16%,2742,2.05%,606,0.45%,14598,10.92%,114173,85.41%
E14001124,Brentford and Isleworth,1568,1.22%,2330,1.81%,335,0.26%,12583,9.77%,111912,86.94%
E14001125,Brentwood and Ongar,1021,1.04%,548,0.56%,207,0.21%,8340,8.50%,88002,89.69%
E14001126,Bridgwater,932,0.94%,466,0.47%,148,0.15%,9175,9.25%,88483,89.19%
E14001127,Bridlington and The Wolds,700,0.76%,236,0.25%,150,0.16%,7790,8.41%,83724,90.41%
E14001128,Brigg and Immingham,697,0.77%,248,0.27%,111,0.12%,7243,7.96%,82646,90.87%
E14001129,Brighton Kemptown and Peacehaven,725,0.76%,1088,1.14%,1870,1.96%,12615,13.23%,79079,82.91%
E14001130,Brighton Pavilion,781,0.76%,2153,2.09%,3411,3.31%,19151,18.59%,77524,75.25%
E14001131,Bristol Central,648,0.69%,3155,3.37%,7302,7.80%,23038,24.60%,59501,63.54%
E14001132,Bristol East,1477,1.34%,1142,1.04%,577,0.52%,11532,10.48%,95329,86.62%
E14001133,Bristol North East,1094,1.11%,791,0.80%,882,0.89%,9703,9.83%,86283,87.37%
E14001134,Bristol North West,1143,1.05%,1124,1.03%,1696,1.55%,12926,11.84%,92308,84.53%
E14001135,Bristol South,1278,1.23%,637,0.61%,522,0.50%,10975,10.54%,90682,87.12%
E14001136,Broadland and Fakenham,715,0.77%,272,0.29%,131,0.14%,7455,7.99%,84751,90.81%
E14001137,Bromley and Biggin Hill,1083,1.11%,743,0.76%,278,0.28%,8051,8.25%,87401,89.59%
E14001138,Bromsgrove,888,0.90%,335,0.34%,233,0.23%,7642,7.71%,90084,90.83%
E14001139,Broxbourne,1206,1.11%,498,0.46%,251,0.23%,8199,7.56%,98239,90.63%
E14001140,Broxtowe,795,0.84%,811,0.86%,868,0.92%,8378,8.86%,83694,88.52%
E14001141,Buckingham and Bletchley,1075,1.02%,839,0.79%,337,0.32%,9747,9.23%,93634,88.64%
E14001142,Burnley,1213,1.11%,1091,1.00%,143,0.13%,8291,7.57%,98816,90.20%
E14001143,Burton and Uttoxeter,1274,1.13%,711,0.63%,165,0.15%,9516,8.46%,100865,89.63%
E14001144,Bury North,1060,1.03%,572,0.55%,141,0.14%,6634,6.43%,94751,91.85%
E14001145,Bury South,1354,1.27%,646,0.61%,213,0.20%,7426,6.96%,97091,90.97%
E14001146,Bury St Edmunds and Stowmarket,937,0.92%,1117,1.10%,223,0.22%,9611,9.46%,89680,88.30%
E14001147,Calder Valley,862,0.87%,284,0.29%,190,0.19%,7799,7.87%,89912,90.78%
E14001148,Camborne and Redruth,947,0.96%,453,0.46%,265,0.27%,9801,9.89%,87629,88.43%
E14001149,Cambridge,1088,0.88%,5532,4.46%,4013,3.23%,20501,16.52%,92950,74.91%
E14001150,Cannock Chase,1095,1.09%,205,0.20%,119,0.12%,7569,7.53%,91531,91.06%
E14001151,Canterbury,813,0.76%,1979,1.84%,4079,3.80%,16748,15.61%,83651,77.98%
E14001152,Carlisle,938,0.91%,546,0.53%,326,0.32%,9512,9.27%,91341,88.97%
E14001153,Carshalton and Wallington,1139,1.08%,548,0.52%,211,0.20%,7411,7.06%,95705,91.14%
E14001154,Castle Point,810,0.88%,185,0.20%,102,0.11%,6573,7.18%,83881,91.62%
E14001155,Central Devon,729,0.78%,416,0.45%,187,0.20%,8241,8.85%,83589,89.72%
E14001156,Central Suffolk and North Ipswich,769,0.82%,522,0.55%,201,0.21%,7838,8.32%,84834,90.09%
E14001157,Chatham and Aylesford,1294,1.22%,470,0.44%,185,0.17%,8426,7.96%,95481,90.20%
E14001158,Cheadle,938,0.98%,549,0.57%,204,0.21%,7042,7.38%,86746,90.85%
E14001159,Chelmsford,1088,1.01%,1010,0.94%,393,0.37%,10323,9.63%,94397,88.05%
E14001160,Chelsea and Fulham,1145,0.96%,3702,3.10%,1592,1.33%,19346,16.19%,93735,78.43%
E14001161,Cheltenham,844,0.84%,1148,1.15%,1176,1.17%,12425,12.40%,84603,84.44%
E14001162,Chesham and Amersham,946,0.95%,615,0.62%,341,0.34%,8113,8.19%,89046,89.89%
E14001163,Chester North and Neston,731,0.78%,1140,1.21%,1343,1.43%,10394,11.03%,80597,85.55%
E14001164,Chester South and Eddisbury,771,0.82%,556,0.59%,259,0.28%,8181,8.72%,84068,89.59%
E14001165,Chesterfield,842,0.90%,300,0.32%,143,0.15%,7060,7.57%,84897,91.05%
E14001166,Chichester,866,0.83%,711,0.68%,681,0.65%,11789,11.32%,90099,86.51%
E14001167,Chingford and Woodford Green,1246,1.12%,646,0.58%,211,0.19%,7658,6.90%,101244,91.21%
E14001168,Chippenham,883,0.90%,557,0.57%,251,0.26%,9546,9.75%,86706,88.53%
E14001169,Chipping Barnet,1191,1.05%,1155,1.02%,379,0.34%,8788,7.78%,101387,89.80%
E14001170,Chorley,1010,1.00%,309,0.31%,157,0.16%,7722,7.65%,91727,90.89%
E14001171,Christchurch,608,0.69%,335,0.38%,149,0.17%,7715,8.76%,79261,90.00%
E14001172,Cities of London and Westminster,952,0.79%,7581,6.32%,1641,1.37%,19176,15.98%,90631,75.54%
E14001173,City of Durham,716,0.71%,1615,1.60%,4910,4.88%,13656,13.56%,79784,79.24%
E14001174,Clacton,814,0.83%,225,0.23%,109,0.11%,8813,8.98%,88230,89.86%
E14001175,Clapham and Brixton Hill,1004,0.96%,1664,1.58%,870,0.83%,19752,18.81%,81698,77.82%
E14001176,Colchester,1296,1.13%,1412,1.24%,1378,1.21%,13357,11.68%,96882,84.74%
E14001177,Colne Valley,861,0.93%,310,0.33%,189,0.20%,7343,7.89%,84348,90.65%
E14001178,Congleton,847,0.94%,287,0.32%,178,0.20%,8065,8.97%,80493,89.57%
E14001179,Corby and East Northamptonshire,1183,1.01%,900,0.77%,251,0.22%,10555,9.05%,103701,88.95%
E14001180,Coventry East,1598,1.35%,1397,1.18%,347,0.29%,9549,8.07%,105391,89.10%
E14001181,Coventry North West,1157,1.08%,954,0.89%,816,0.76%,9335,8.70%,95028,88.57%
E14001182,Coventry South,1171,0.98%,4772,3.98%,3576,2.99%,18617,15.55%,91616,76.50%
E14001183,Cramlington and Killingworth,931,0.96%,265,0.27%,114,0.12%,7180,7.44%,88067,91.21%
E14001184,Crawley,1500,1.27%,1075,0.91%,202,0.17%,11044,9.32%,104672,88.34%
E14001185,Crewe and Nantwich,1209,1.10%,1060,0.97%,182,0.17%,10480,9.57%,96573,88.19%
E14001186,Croydon East,1259,1.15%,690,0.63%,245,0.22%,7695,7.00%,99962,91.00%
E14001187,Croydon South,1245,1.23%,689,0.68%,279,0.28%,8610,8.52%,90216,89.29%
E14001188,Croydon West,1786,1.46%,1581,1.29%,303,0.25%,11786,9.62%,107047,87.38%
E14001189,Dagenham and Rainham,1559,1.31%,930,0.78%,174,0.15%,8740,7.33%,107798,90.43%
E14001190,Darlington,968,0.99%,478,0.49%,161,0.17%,8713,8.95%,87029,89.40%
E14001191,Dartford,1523,1.40%,763,0.70%,172,0.16%,9192,8.45%,97191,89.30%
E14001192,Daventry,1002,0.95%,461,0.44%,262,0.25%,9332,8.86%,94324,89.51%
E14001193,Derby North,992,0.96%,928,0.90%,1309,1.27%,11120,10.77%,88886,86.10%
E14001194,Derby South,1581,1.33%,1132,0.96%,436,0.37%,9449,7.97%,105919,89.37%
E14001195,Derbyshire Dales,638,0.71%,392,0.44%,184,0.21%,7648,8.56%,80469,90.08%
E14001196,Dewsbury and Batley,1401,1.35%,725,0.70%,122,0.12%,6350,6.12%,95182,91.72%
E14001197,Didcot and Wantage,1250,1.18%,726,0.68%,331,0.31%,11581,10.90%,92330,86.93%
E14001198,Doncaster Central,1163,1.04%,917,0.82%,144,0.13%,9570,8.53%,100346,89.48%
E14001199,Doncaster East and the Isle of Axholme,798,0.85%,237,0.25%,135,0.14%,7325,7.82%,85182,90.93%
E14001200,Doncaster North,1161,1.20%,285,0.29%,94,0.10%,7234,7.48%,87939,90.93%
E14001201,Dorking and Horley,886,0.94%,606,0.65%,279,0.30%,8035,8.56%,84009,89.55%
E14001202,Dover and Deal,986,0.96%,496,0.48%,165,0.16%,9068,8.80%,92358,89.60%
E14001203,Droitwich and Evesham,930,0.91%,455,0.45%,182,0.18%,8297,8.14%,92120,90.33%
E14001204,Dudley,1253,1.24%,473,0.47%,88,0.09%,6472,6.41%,92690,91.79%
E14001205,Dulwich and West Norwood,1176,1.10%,1296,1.21%,466,0.44%,12157,11.35%,92004,85.91%
E14001206,Dunstable and Leighton Buzzard,1322,1.22%,563,0.52%,195,0.18%,9710,8.99%,96188,89.08%
E14001207,Ealing Central and Acton,1497,1.13%,3665,2.77%,926,0.70%,18966,14.32%,107372,81.08%
E14001208,Ealing North,1459,1.14%,1355,1.06%,292,0.23%,9634,7.54%,115016,90.03%
E14001209,Ealing Southall,1367,1.09%,1662,1.33%,294,0.24%,10596,8.48%,110983,88.86%
E14001210,Earley and Woodley,1090,1.03%,1646,1.56%,978,0.93%,11481,10.86%,90518,85.63%
E14001211,Easington,897,0.96%,181,0.19%,154,0.17%,7376,7.92%,84569,90.76%
E14001212,East Grinstead and Uckfield,812,0.85%,593,0.62%,253,0.26%,8501,8.89%,85449,89.37%
E14001213,East Ham,1872,1.43%,2487,1.90%,158,0.12%,9766,7.45%,116751,89.10%
E14001214,East Hampshire,709,0.78%,538,0.59%,245,0.27%,7766,8.55%,81598,89.81%
E14001215,East Surrey,1077,1.09%,544,0.55%,277,0.28%,7848,7.91%,89419,90.17%
E14001216,East Thanet,1107,1.05%,580,0.55%,155,0.15%,9560,9.10%,93671,89.15%
E14001217,East Wiltshire,1054,1.04%,833,0.82%,301,0.30%,11409,11.28%,87572,86.56%
E14001218,East Worthing and Shoreham,822,0.83%,437,0.44%,165,0.17%,8019,8.05%,90180,90.52%
E14001219,Eastbourne,888,0.87%,794,0.78%,360,0.35%,9947,9.78%,89697,88.21%
E14001220,Eastleigh,906,0.97%,482,0.52%,207,0.22%,8299,8.87%,83660,89.42%
E14001221,Edmonton and Winchmore Hill,1416,1.12%,1134,0.89%,252,0.20%,8862,6.99%,115144,90.80%
E14001222,Ellesmere Port and Bromborough,1104,1.16%,326,0.34%,176,0.18%,6705,7.05%,86832,91.26%
E14001223,Eltham and Chislehurst,1296,1.17%,906,0.82%,326,0.30%,8516,7.71%,99376,90.00%
E14001224,Ely and East Cambridgeshire,982,0.93%,768,0.73%,240,0.23%,9001,8.53%,94478,89.58%
E14001225,Enfield North,1480,1.16%,852,0.67%,232,0.18%,9585,7.52%,115227,90.46%
E14001226,Epping Forest,1198,1.17%,548,0.53%,196,0.19%,8135,7.93%,92536,90.18%
E14001227,Epsom and Ewell,1127,1.04%,980,0.91%,389,0.36%,8887,8.24%,96475,89.45%
E14001228,Erewash,884,0.93%,259,0.27%,120,0.13%,7236,7.60%,86674,91.07%
E14001229,Erith and Thamesmead,1744,1.29%,1425,1.06%,272,0.20%,10701,7.93%,120827,89.52%
E14001230,Esher and Walton,1218,1.18%,1021,0.99%,321,0.31%,9366,9.10%,91004,88.41%
E14001231,Exeter,833,0.82%,2381,2.34%,5532,5.44%,17304,17.02%,75646,74.38%
E14001232,Exmouth and Exeter East,968,0.97%,567,0.57%,321,0.32%,10399,10.41%,87676,87.74%
E14001233,Fareham and Waterlooville,852,0.86%,358,0.36%,157,0.16%,8357,8.46%,89085,90.16%
E14001234,Farnham and Bordon,910,0.91%,803,0.80%,456,0.46%,10426,10.41%,87601,87.43%
E14001235,Faversham and Mid Kent,1003,1.01%,324,0.33%,156,0.16%,8813,8.90%,88776,89.61%
E14001236,Feltham and Heston,1620,1.22%,2195,1.65%,209,0.16%,10647,8.00%,118482,88.98%
E14001237,Filton and Bradley Stoke,1265,1.18%,1436,1.34%,1183,1.10%,13025,12.13%,90430,84.25%
E14001238,Finchley and Golders Green,1504,1.19%,2063,1.64%,439,0.35%,12804,10.15%,109318,86.67%
E14001239,Folkestone and Hythe,809,0.88%,478,0.52%,162,0.18%,8040,8.76%,82342,89.67%
E14001240,Forest of Dean,765,0.84%,363,0.40%,220,0.24%,7623,8.33%,82589,90.20%
E14001241,Frome and East Somerset,898,0.97%,467,0.51%,302,0.33%,7503,8.14%,82976,90.05%
E14001242,Fylde,704,0.73%,779,0.81%,169,0.18%,8857,9.20%,85767,89.08%
E14001243,Gainsborough,783,0.82%,339,0.36%,169,0.18%,8491,8.92%,85375,89.72%
E14001244,Gateshead Central and Whickham,1009,1.03%,610,0.62%,295,0.30%,8682,8.86%,87384,89.19%
E14001245,Gedling,980,0.97%,328,0.32%,232,0.23%,7521,7.44%,92020,91.04%
E14001246,Gillingham and Rainham,1143,1.12%,713,0.70%,348,0.34%,8919,8.72%,91192,89.13%
E14001247,Glastonbury and Somerton,776,0.84%,519,0.56%,299,0.33%,9037,9.83%,81331,88.44%
E14001248,Gloucester,1259,1.08%,615,0.53%,705,0.61%,10859,9.33%,102977,88.46%
E14001249,Godalming and Ash,915,0.95%,672,0.70%,455,0.47%,9596,9.95%,84842,87.94%
E14001250,Goole and Pocklington,854,0.83%,418,0.40%,171,0.17%,8941,8.65%,93020,89.96%
E14001251,Gorton and Denton,1564,1.38%,1399,1.23%,372,0.33%,8256,7.26%,102102,89.81%
E14001252,Gosport,900,0.93%,420,0.44%,117,0.12%,8666,9.00%,86169,89.51%
E14001253,Grantham and Bourne,890,0.90%,420,0.42%,216,0.22%,8424,8.52%,88906,89.93%
